Rank,First_Name,Last_Name,Passing_Yards,Touchdowns,Interceptions,TD_INT_Ratio,Completions,Attempts,Comp%,Passer_Rating,Yards_Per_Game,Seasons_Played,Num_Teams
20,Warren,Moon,49325,291,233,1.25,3988,6823,0.58,80.90,237.10,16,4
19,Dan,Fouts,43040,254,242,1.05,3297,5604,0.59,80.20,237.80,14,1
18,Ben,Roethlisberger,56545,363,191,1.90,4651,7230,0.64,94.00,259.40,15,1
17,Kurt,Warner,32344,208,128,1.63,2666,4070,0.66,93.70,260.80,11,3
16,Troy,Aikman,32942,165,141,1.17,2898,4715,0.61,81.60,199.60,11,1
15,Jim,Kelly,35467,237,175,1.35,2874,4779,0.60,84.40,221.70,10,1
14,Aaron,Rodgers,45766,356,82,4.34,3805,5872,0.65,102.90,260.00,14,1
13,Fran,Tarkenton,47003,342,266,1.29,3686,6467,0.57,80.40,191.10,17,2
12,Terry,Bradshaw,27989,212,210,1.01,2025,3901,0.52,70.90,166.60,13,1
11,Steve,Young,33124,232,107,2.17,2667,4149,0.64,96.80,196.00,14,2
10,Roger,Staubach,22700,153,109,1.40,1685,2958,0.57,83.40,173.30,10,1
9,Bart,Starr,24718,152,138,1.10,1808,3149,0.57,80.50,126.10,15,1
8,Dan,Marino,61361,420,252,1.67,4967,8358,0.59,86.40,253.60,16,1
7,Johnny,Unitas,40239,290,253,1.15,2830,5186,0.55,78.20,190.70,17,2
6,John,Elway,51475,300,226,1.33,4123,7250,0.57,79.90,220.00,15,1
5,Drew,Brees,76044,531,237,2.24,6745,9993,0.67,97.90,281.60,18,2
4,Brett,Favre,71838,508,336,1.51,6300,10169,0.62,86.00,237.90,19,4
3,Peyton,Manning,71940,539,251,2.15,6125,9380,0.65,96.50,270.50,17,2
2,Joe,Montana,40551,273,139,1.96,3409,5391,0.63,92.30,211.20,15,2
1,Tom,Brady,73456,532,176,3.02,6277,9814,0.64,97.20,262.30,19,1
